거래처,품목,주문횟수,평균주기(일),주기표준편차,평균수량(kg),최근주문일,경과일수,주문규칙성점수,거래유형
주식회사 바인텍,PP8MMPP8MM／750M (투명),2,226.0,0.0,360.0,2025-10-17,94,70.8,일회성
(주)유경산업지대,PE28mm 2kgPE28M／M(백)2KG,2,609.0,0.0,400.0,2025-10-17,94,70.8,일회성
동원팩,PE28mm 2kgPE28M／M(녹)2KG,2,638.0,0.0,30.0,2025-10-14,97,70.7,일회성
주식회사 삼성종합포장,PE28mm 2kgPE28M／M(백)2KG,4,227.3,43.7,350.0,2025-12-18,32,70.6,불규칙
대상산업,PE28mm 2kgPE28M／M(백)2KG,140,5.2,3.0,381.09,2025-12-31,19,70.4,안정
진송팩,PE28mm 2kgPE28M／M(황)2KG,9,70.8,34.8,46.67,2025-12-11,39,70.3,안정
합동포장기계,운송료,3,215.5,25.5,4.33,2025-11-28,52,70.2,불규칙
세움패키지(SEUMPKG),PE28mm 2kgPE28M／M(백)2KG,6,115.4,31.3,600.0,2025-11-03,77,70.2,안정
ANDERSON WHOLESALE PACKAGING PTY LTD.,PP19M Premium Black w/paper corePP19M／M*1000M 0.7T Black w/paper core,10,64.8,36.2,1305.87,2025-12-14,36,70.1,안정
동원팩,"PE28mm, 6KGPE28M／M(백)6KG",116,6.4,3.7,320.74,2026-01-05,14,70.1,안정
(주)더담패키지,PP7MPP7M10KG백색,6,109.6,31.7,500.0,2025-11-13,67,69.9,불규칙
대화수지공업(주),PE원료재생원료,2,3.0,0.0,22812.0,2025-09-29,112,69.9,일회성
VINAPACK,"9 x 4,000M 0.50T9 x 4,000M 0.50T Blue",2,307.0,0.0,2053.2,2025-09-28,113,69.8,일회성
(주)낙원포장,PP6MMPP6M/M12.5KG(백),40,18.5,10.6,3284.06,2025-12-23,27,69.8,불규칙
VINAPACK,"12 x 3,000M 0.50T12 x 3,000M 0.50T 청색",2,307.0,0.0,2520.0,2025-09-28,113,69.8,일회성
VINAPACK,PP 12MM 2000M 0.80MM Black 200 core12mm 2000m 0.80mm Black 200 core,2,307.0,0.0,5499.2,2025-09-28,113,69.8,일회성
ANDERSON WHOLESALE PACKAGING PTY LTD.,PP19M Premium BlackPP19M／M*1000M 0.7T Black,10,58.7,33.2,4083.78,2025-12-14,36,69.7,불규칙
GAICA SAS,PP 05MM05MM x 7300 x 0.45MM White,2,476.0,0.0,4138.2,2025-09-24,117,69.6,일회성
