,거래건수,거래일수,평균주기(일),중앙값주기(일),표준편차(일),최소주기(일),최대주기(일),최초거래일,최근거래일,총거래기간(일),평균월거래량(kg),평균월매출액,주기규칙성
범영산업(김근태／익산),17,15,123.2,128.5,63,1,227,2016-07-08 0:00,2021-03-29 0:00,1725,185.86,542500,불규칙적
동오정밀(주),17,11,268.6,86,332.3,15,1095,2017-06-15 0:00,2024-10-22 0:00,2686,290.5,625786,불규칙적
HERMES INTL S.A,17,2,238,238,0,238,238,2010-05-31 0:00,2011-01-24 0:00,238,19539.75,42025698,규칙적
대일종합상사,16,15,350,139,669.7,7,2722,2010-10-07 0:00,2024-03-07 0:00,4900,117.43,265000,불규칙적
국제산업기계,16,16,73.8,70,23.7,23,112,2010-03-04 0:00,2013-03-15 0:00,1107,197.33,569933,규칙적
천일포장,16,12,54.1,49,32.2,6,125,2021-05-12 0:00,2022-12-28 0:00,595,1664.25,3492917,불규칙적
제이케이머티리얼즈(주)／신평공장,16,15,209,40.5,611,28,2412,2016-07-18 0:00,2024-07-22 0:00,2926,66.4,1924251,불규칙적
유정화학산업사,15,15,78.9,90.5,30.9,20,128,2013-07-26 0:00,2016-08-03 0:00,1104,172.86,481143,규칙적
자연산업,15,13,95.3,100,40.1,42,171,2016-02-16 0:00,2019-04-05 0:00,1144,4.92,247692,규칙적
(주)남영판지,15,12,64.2,63,35.9,13,131,2022-08-03 0:00,2024-07-09 0:00,706,645.4,2542400,불규칙적
케이디켐(주)안산지점,15,9,73.4,58.5,46.2,11,171,2014-10-15 0:00,2016-05-24 0:00,587,134,1010400,불규칙적
전주삼신포장기계,15,13,26.5,27.5,15.2,5,53,2010-01-08 0:00,2010-11-22 0:00,318,861.89,2134200,불규칙적
삼부코리아,15,15,185.1,194.5,54.5,111,280,2010-03-22 0:00,2017-04-25 0:00,2591,60,176133,규칙적
(주)유경산업지대,14,13,473.9,401,243.5,98,931,2010-03-23 0:00,2025-10-17 0:00,5687,390.85,1172231,불규칙적
우리포장상사,14,12,198.4,106,227.2,14,820,2012-08-30 0:00,2018-08-21 0:00,2182,90.91,267273,불규칙적
ML AUSTRALIAN HOLDINGS,14,2,119,119,0,119,119,2015-07-29 0:00,2015-11-25 0:00,119,8301,16148472,규칙적
남웅전자,14,5,12.2,8,7.9,7,26,2015-06-08 0:00,2015-07-27 0:00,49,257,1866300,불규칙적
그린포장,14,12,169.1,113,197,63,788,2020-09-28 0:00,2025-11-01 0:00,1860,343.33,1036167,불규칙적
대화수지공업(주),14,13,13.7,2,26.7,1,84,2025-04-18 0:00,2025-09-29 0:00,164,94910,111093410,불규칙적
(주)더담패키지,14,12,134.4,126,48.1,79,209,2021-10-27 0:00,2025-11-13 0:00,1478,523.33,1231500,규칙적
오버라이트산업,14,8,325,99,569.2,32,1714,2011-07-19 0:00,2017-10-10 0:00,2275,1669,3683851,불규칙적
광현페이퍼,14,12,235.6,59,247.4,10,701,2017-11-06 0:00,2024-12-11 0:00,2592,670,2138800,불규칙적
동림특수제지,13,13,208.5,192.5,92,103,392,2010-01-29 0:00,2016-12-05 0:00,2502,44.62,127908,규칙적
