일자,거래처명,창고,품   목 [규격],수량(kg),단위,단가,외화금액,공급가액,부가세,합계,적요,법인명(삼성),오더번호
20100418,RLBUTTON,PP,PP 12MM12MMx1000Mx0.55MM Blue,8551.8000000000,KG,3.3383444444,15809.6300000000,17528125.0000000000,0.0000000000,17528125.0000000000, , , 
20100419,삼원산업,PP,PP12MPP12M／M9.5KG,6141.0000000000,KG,1850.0000000000,0.0000000000,11336750.0000000000,1133675.0000000000,12470425.0000000000,100롤, , 
20100420,(주)지엔에스트레이딩,PP,18MMx 21kg 삼성(내수)2520M두께0.9mm단중8.56g,5360.0000000000,KG,1881.8333333333,0.0000000000,9992520.0000000000,999252.0000000000,10991772.0000000000,내수 40, , 
20100421,홍영산업,PE,PE28mm 2kgPE28M／M(백)2KG,5325.0000000000,KG,2038.2000000000,0.0000000000,10468090.0000000000,350875.0000000000,10818965.0000000000,20박스, , 
20100422,경인팩,PE,PE28mm 2kgPE28M／M(황)2KG,1168.0000000000,KG,2483.3333333333,0.0000000000,2789200.0000000000,278920.0000000000,3068120.0000000000,2박스, , 
20100423,대상산업,PE,PE28mm 2kgPE28M／M(백)2KG,2745.0000000000,KG,2063.3666666667,0.0000000000,5540225.0000000000,276657.0000000000,5816882.0000000000,30박스, , 
20100424,PUNCHBOWL,PP,PP19M HD BlackPP19M／M*1000M1.0TBlack,18541.0000000000,KG,4.5026600000,35126.1000000000,39007533.0000000000,0.0000000000,39007533.0000000000, , ,200171
20100426,제일산업(주)(화성),PP,PP8MMPP8M／M10KG(투명),22440.0000000000,KG,356.4888888889,2934228.0000000000,35845310.0000000000,120000.0000000000,35965310.0000000000,60롤, , 
20100427,대경(박타원),PE,PE28mm 2kgPE28M／M(백)2KG,6040.0000000000,KG,2200.0000000000,0.0000000000,12945000.0000000000,1294500.0000000000,14239500.0000000000,25박스, , 
20100428,(주)지엔에스트레이딩,PP,18MMx 21kg 삼성2300M두께0.9mm단중9.1g,2167.0000000000,KG,2747.0000000000,0.0000000000,4261670.0000000000,155526.0000000000,4417196.0000000000,수출 70, , 
20100429,한서포장,PE,PE28mm 2kgPE28M／M(백)2KG,2750.0000000000,KG,2221.4285714286,0.0000000000,5700000.0000000000,570000.0000000000,6270000.0000000000,20박스, , 
20100430,(주)대일상사,PE,PE28mm 2kgPE28M／M(백)2KG,5350.0000000000,KG,1950.0000000000,0.0000000000,10183750.0000000000,1018375.0000000000,11202125.0000000000,10박스, , 
2010/04  계,,,,194757.8,,48634.2212018415,3118400.82,415950622,13918707,429869329,,,
20100501,APACKPLASTIC,PP,"15 x 2,500M 0.64T15 x 2,500M 0.64T 청색",7675.5000000000,KG,1.9349000000,14851.2000000000,16566513.0000000000,0.0000000000,16566513.0000000000, , ,APDAN1002
20100502,"SANYU CO.,LTD",PP,15 x 100M 0.55T15x100M0.55T황색,421598.4000000000,KG,142.8083692308,1567106.0000000000,53362360.0000000000,0.0000000000,53362360.0000000000, , ,15 KIC
20100503,삼성종합포장,PE,PE28mm 2kgPE28M／M(백)2KG,4905.0000000000,KG,2014.3416666667,0.0000000000,10053316.0000000000,543729.0000000000,10597045.0000000000,20박스, , 
20100504,(주)삼신,PE,PE28mm 2kgPE28M／M(백)2KG,1855.0000000000,KG,1962.2750000000,0.0000000000,4055710.0000000000,294625.0000000000,4350335.0000000000,50박스, , 
20100506,광림포장기계컨베이어,PE,PE28mm 2kgPE28M／M(황)2KG,10034.0000000000,KG,1991.6153846154,0.0000000000,19052290.0000000000,1209295.0000000000,20261585.0000000000,10박스, , 
20100507,제일산업(주)(화성),PP,PP12MPP12M／M9KG,4204.0000000000,KG,2157.4545454545,0.0000000000,8613172.0000000000,861317.0000000000,9474489.0000000000,60롤, , 
20100508,TSUKASA CHEMICAL INDUSTRY,PE,"PE28mm, 6KGPE28M／M(백)6KG",10120.0000000000,KG,152.5000000000,1769200.0000000000,28013370.0000000000,0.0000000000,28013370.0000000000, , ,KYC-34-0005
20100510,신광포장기계(부산),PE,PE28mm 2kgPE28M／M(백)2KG,5976.0000000000,KG,2248.5714285714,0.0000000000,13211750.0000000000,1321175.0000000000,14532925.0000000000,5박스, , 
20100511,NORTH SHORE,PP,PP 06MM06MMx5486Mx0.48MM White,19444.0000000000,KG,1152.6727666667,26232.7700000000,38308892.0000000000,156817.0000000000,38465709.0000000000, , , 
20100512,파워엠팩,PP,PP10.5MPP10.5M10KG투명,760.0000000000,KG,2300.0000000000,0.0000000000,1614000.0000000000,161400.0000000000,1775400.0000000000,40롤, , 
20100513,(주)지엔에스트레이딩,PP,18MMx 21kg 삼성2300M두께0.9mm단중9.1g,3984.0000000000,KG,1842.3500000000,0.0000000000,7349332.0000000000,57994.0000000000,7407326.0000000000,수출 65, , 
20100514,합동포장기계,PP,PP12MPP12M／M12.5(황),8323.4000000000,KG,3234.6069842105,0.0000000000,16488250.0000000000,1259995.0000000000,17748245.0000000000,100롤, , 
20100517,DAINDO OFFSET,PE,PE28mm 2kgPE28M／M(백)2KG,16530.0000000000,KG,1482.7644444444,21319.2000000000,34020210.0000000000,553148.0000000000,34573358.0000000000, , ,100412
20100518,KOMERI,PP,15 x 100M 0.55T15x100M0.55T녹색,8597.8400000000,KG,1196.9734000000,1364600.0000000000,21443431.0000000000,447040.0000000000,21890471.0000000000, , ,PUS100215902
20100519,태현포장기계,PP,PP9MMPP9M／M10KG(투명),3098.0000000000,KG,1930.0000000000,0.0000000000,6413900.0000000000,641390.0000000000,7055290.0000000000,30롤, , 
20100520,경인팩,PE,"PE28mm, 6KGPE28M／M(백)6KG",5925.0000000000,KG,1931.7076923077,0.0000000000,11054065.0000000000,448976.0000000000,11503041.0000000000,15박스, , 
20100521,LANDEN,PP,"12 x 3,000M 0.62T12x3,000M0.62T백색",15246.0000000000,KG,2.0661000000,31500.0000000000,36700650.0000000000,0.0000000000,36700650.0000000000, , ,100317-2
20100524,대경(박타원),PE,PE28mm 2kgPE28M／M(적)2KG,3345.0000000000,KG,1866.6666666667,0.0000000000,5785250.0000000000,578525.0000000000,6363775.0000000000,2박스, , 
20100525,(주)범영화성,PE,PE28mm 2kgPE28M／M(백)2KG,4890.0000000000,KG,1960.1375000000,0.0000000000,9346760.0000000000,323632.0000000000,9670392.0000000000,20박스, , 
20100526,삼원산업,PP,PP15MPP15M／M10KG(적),1765.0000000000,KG,2180.0000000000,0.0000000000,3246750.0000000000,324675.0000000000,3571425.0000000000,50롤, , 
20100527,파워엠팩,PE,PE28mm 2kgPE28M／M(백)2KG,200.0000000000,KG,2350.0000000000,0.0000000000,470000.0000000000,47000.0000000000,517000.0000000000,10박스, , 
20100528,파워엠팩,PP,PP10.5MPP10.5M10KG투명,22100.0000000000,KG,368.9431250000,3507883.0000000000,48504778.0000000000,90000.0000000000,48594778.0000000000,50롤, , 
20100531,태림PACK,PE,PE28mm 2kgPE28M／M(백)2KG,22725.5000000000,KG,974.6452533333,34797.3300000000,47245271.0000000000,153789.0000000000,47399060.0000000000,2박스, , 
2010/05  계,,,,603301.64,,35445.0352271681,8337489.5,440920020,9474522,450394542,,,
20100601,홍영산업,PE,PE28mm 2kgPE28M／M(백)2KG,8880.0000000000,KG,1976.9230769231,0.0000000000,16850500.0000000000,1685050.0000000000,18535550.0000000000,20박스, , 
20100602,파워엠팩,PP,PP10.5MPP10.5M10KG투명,1120.0000000000,KG,2250.0000000000,0.0000000000,2124000.0000000000,212400.0000000000,2336400.0000000000,100롤, , 
20100603,(주)삼신,PE,PE28mm 2kgPE28M／M(백)2KG,1000.0000000000,KG,2500.0000000000,0.0000000000,2500000.0000000000,250000.0000000000,2750000.0000000000,50박스, , 
20100604,(주)삼신,PP,PP15MPP15M／M10KG(황),3845.0000000000,KG,2027.1571428571,0.0000000000,7595390.0000000000,426701.0000000000,8022091.0000000000,50롤, ,화물 직송
20100605,RLBUTTON,PP,"12 x 3,000M 0.60T12x3,000M0.60TBLUE",16738.5000000000,KG,150.3768882353,30646.0500000000,37919296.0000000000,100000.0000000000,38019296.0000000000, , ,411461 Lyttelton
20100607,광림포장기계컨베이어,PP,PP15MPP15M／M13KG,4770.0000000000,KG,2050.0000000000,0.0000000000,9122500.0000000000,912250.0000000000,10034750.0000000000,50롤, , 
20100608,(주)지엔에스트레이딩,PP,18MMx 21kg 삼성2300M두께0.9mm단중9.1g,5996.0000000000,KG,2054.8750000000,0.0000000000,12015253.0000000000,637045.0000000000,12652298.0000000000,수출 32, , 
20100609,파워엠팩,PP,PP12MPP12M／M10KG(황),3782.0000000000,KG,1801.2200000000,0.0000000000,6771955.0000000000,447739.0000000000,7219694.0000000000,80롤, , 
20100610,조은상사,PE,"PE28mm, 6KGPE28M／M(백)6KG",2504.0000000000,KG,2081.4285714286,0.0000000000,5079400.0000000000,507940.0000000000,5587340.0000000000,21박스, , 
20100611,(주)지엔에스트레이딩,PP,18MMx 21kg 삼성2300M두께0.9mm단중9.1g,8884.0000000000,KG,1253.1942000000,1357600.0000000000,23366107.0000000000,233925.0000000000,23600032.0000000000,수출 58, , 
20100612,ARMSTRONG,PP,"12 x 2,500M 0.65T12x2,500M0.65TWHITE",1440.0000000000,KG,2.4467000000,3523.2000000000,4444516.0000000000,0.0000000000,4444516.0000000000, , ,PO 017394
