출하번호,출하창고명,품명,수량,진행상태,인쇄
20201126-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 3건,3784.0000000000,진행중,인쇄
20201124-1,PP,PP6MM [PP6M／M10KG(백)],500.0000000000,진행중,인쇄
20201112-2,PP,PP6MM [PP6M／M10KG(백)],2000.0000000000,진행중,인쇄
20201112-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,3536.0000000000,진행중,인쇄
20201110-2,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,592.0000000000,진행중,인쇄
20201110-1,PP,PP6MM [PP6M／M10KG(백)],1000.0000000000,진행중,인쇄
20201109-1,PP,PP6MM [PP6M／M10KG(백)] 외 1건,561.0000000000,진행중,인쇄
20201106-1,PE,PE28mm 2kg [PE28M／M(백)2KG],1120.0000000000,진행중,인쇄
20201105-2,PE,PE28mm 2kg [PE28M／M(백)2KG],2520.0000000000,진행중,인쇄
20201105-1,PP,PP6MM [PP6M／M10KG(백)],560.0000000000,진행중,인쇄
20200904-1,PE,PE28mm 2kg [PE28M／M(백)2KG],100.0000000000,진행중,인쇄
20200828-1,PP,PP15M [PP15MM*10KG(황색)] 외 1건,481.0000000000,진행중,인쇄
20150331-1,PE,"PE28mm, 6KG [PE28M／M(백)6KG]",24.0000000000,진행중,인쇄
20150119-1,PE,PE28mm 2kg [PE28M／M(백)2KG],2400.0000000000,진행중,인쇄
20140623-1,PE,PE28mm 2kg [PE28M／M(백)2KG] ,60.0000000000,진행중,인쇄
20130610-1,PE,PE28mm 2kg [PE28M／M(백)2KG] ,220.0000000000,진행중,인쇄
2026/01/05 (월) 오후 4:28:28,,,,,
