"회사명 : (주)케이아이씨 / 2000/01/01  ~ 2026/01/05  / 생산입고현황"
"월/일	","생산된공장	","입고창고	","품명 및 규격	","수량	","생산금액	","적요	",""
"10/01/19-1	","PE	","PE	","PE28mm 2kg [PE28M／M(백)2KG]	","680.000","0","야간	",""
"10/01/19-1	","PE	","PE	","PE28mm 2kg [PE28M／M(청)2KG]	","336.000","0","야간	",""
"10/01/19-1	","PE	","PE	","PE28mm 2kg [PE28M／M(청)2KG]	","400.000","0","야간	",""
"10/01/19-1	","PE	","PE	","PE28mm, 6KG [PE28M／M(적)6KG]	","720.000","0","야간	",""
"10/01/19-2	","PE	","PE	","PE28mm 2kg [PE28M／M(백)2KG]	","576.000","0","주간	",""
"10/01/19-2	","PE	","PE	","PE28mm 2kg [PE28M／M(청)2KG]	","624.000","0","주간	",""
"10/01/19-2	","PE	","PE	","PE28mm, 6KG [PE28M／M(청)6KG]	","240.000","0","주간	",""
"10/01/19-2	","PE	","PE	","PE28mm, 6KG [PE28M／M(적)6KG]	","360.000","0","주간	",""
"10/01/19-3	","PP	","PP	","18MMx 21kg 삼성 [2520M두께0.9mm단중8.56g]	","1,386.000","0","	",""
"10/01/19-3	","PP	","PP	","18MMx 15kg 삼성 [1650M두께0.9mm단중8.56g]	","1,200.000","0","	",""
"10/01/19-4	","PP	","PP	","PP12M [PP12M／M12.5(황)]	","1,975.000","0","	",""
"10/01/19-5	","PP	","PP	","PP15M [PP15M／M13KG(황)]	","910.000","0","	",""
"10/01/19-6	","PP	","PP	","PP6MM [PP6M／M10KG(청)]	","510.000","0","	",""
"10/01/19-6	","PP	","PP	","PP6MM [PP6M／M10KG(녹)]	","400.000","0","	",""
"10/01/20-1	","PE	","PE	","PE28mm 2kg [PE28M／M(백)2KG]	","680.000","0","야간	",""
"10/01/20-1	","PE	","PE	","PE28mm 2kg [PE28M／M(적)2KG]	","744.000","0","야간	",""
"10/01/20-1	","PE	","PE	","PE50mm, 6KG [PE50M／M(적)6KG]	","720.000","0","야간	",""
"10/01/20-2	","PE	","PE	","PE28mm 2kg [PE28M／M(백)2KG]	","540.000","0","주간	",""
"10/01/20-2	","PE	","PE	","PE28mm 2kg [PE28M／M(적)2KG]	","648.000","0","주간	",""
"10/01/20-2	","PE	","PE	","PE28mm, 6KG [PE28M／M(적)6KG]	","120.000","0","주간	",""
"10/01/20-2	","PE	","PE	","PE50mm, 6KG [PE50M／M(적)6KG]	","480.000","0","주간	",""
"10/01/20-3	","PP	","PP	","18MMx 21kg 삼성 [2520M두께0.9mm단중8.56g]	","2,520.000","0","	",""
"10/01/20-4	","PP	","PP	","PP12M [PP12M／M12.5(황)]	","625.000","0","	",""
"10/01/20-5	","PP	","PP	","PP12M [PP12M／M12KG(투)]	","600.000","0","	",""
"10/01/20-5	","PP	","PP	","PP15M [PP15M／M10KG]	","1,480.000","0","	",""
"10/01/20-6	","PP	","PP	","PP6MM [PP6M／M10KG(백)]	","400.000","0","	",""
"10/01/20-7	","PP	","PP	","PP10.5M [PP10.5M10KG투명]	","300.000","0","	",""
"10/01/20-8	","PP	","PP	","PP12M [PP12M／M12.5(황)]	","150.000","0","	",""
"10/01/21-1	","PE	","PE	","PE28mm 2kg [PE28M／M(백)2KG]	","200.000","0","야간	",""
"10/01/21-1	","PE	","PE	","PE28mm 2kg [PE28M／M(적)2KG]	","744.000","0","야간	",""
"10/01/21-1	","PE	","PE	","PE50mm, 6KG [PE50M／M(적)6KG]	","504.000","0","야간	",""
"10/01/21-1	","PE	","PE	","PE50mm, 6KG [PE50M／M(청)6KG]	","192.000","0","야간	",""
"10/01/21-2	","PE	","PE	","PE28mm 2kg [PE28M／M(백)2KG]	","560.000","0","주간	",""
"10/01/21-2	","PE	","PE	","PE28mm 2kg [PE28M／M(적)2KG]	","648.000","0","주간	",""
"10/01/21-2	","PE	","PE	","PE50mm, 6KG [PE50M／M(적)6KG]	","600.000","0","주간	",""
"10/01/21-3	","PP	","PP	","18MMx 21kg 삼성 [2520M두께0.9mm단중8.56g]	","2,478.000","0","	",""
"10/01/21-4	","PP	","PP	","PP15M [PP15M／M10KG(적)]	","500.000","0","	",""
"10/01/21-5	","PP	","PP	","15 x 100M 0.55T [15x100M0.55T황색]	","1,247.000","0","	",""
"10/01/21-6	","PP	","PP	","PP12M [PP12M／M12.5(투명)]	","475.000","0","	",""
"10/01/21-7	","PP	","PP	","12 x 3,000M 0.62T [12x3,000M0.62T백색]	","1,491.520","0","	",""
"10/01/22-1	","PE	","PE	","PE28mm 2kg [PE28M／M(백)2KG]	","680.000","0","야간	",""
"10/01/22-1	","PE	","PE	","PE28mm 2kg [PE28M／M(적)2KG]	","744.000","0","야간	",""
"10/01/22-1	","PE	","PE	","PE50mm, 6KG [PE50M／M(청)6KG]	","720.000","0","야간	",""
"10/01/22-2	","PE	","PE	","PE28mm 2kg [PE28M／M(백)2KG]	","360.000","0","주간	",""
"10/01/22-2	","PE	","PE	","PE28mm 2kg [PE28M／M(적)2KG]	","624.000","0","주간	",""
"10/01/22-2	","PE	","PE	","PE50mm, 6KG [PE50M／M(청)6KG]	","600.000","0","주간	",""
"10/01/22-3	","PP	","PP	","18MMx 21kg 삼성 [2520M두께0.9mm단중8.56g]	","1,134.000","0","	",""
"10/01/22-4	","PP	","PP	","PP9MM [PP9M／M13KG(투명)]	","429.000","0","	",""
"10/01/22-4	","PP	","PP	","PP9MM [PP9M／M13KG(투명)]	","91.000","0","	",""
"10/01/22-4	","PP	","PP	","PP9MM [PP9M／M13KG(투명)]	","1,222.000","0","	",""
"10/01/22-5	","PP	","PP	","12 x 3,000M 0.62T [12x3,000M0.62T백색]	","2,300.480","0","	",""
"10/01/22-6	","PP	","PP	","PP10.5M [PP10.5M10KG투명]	","900.000","0","	",""
"10/01/23-1	","PE	","PE	","PE28mm 2kg [PE28M／M(백)2KG]	","660.000","0","주간	",""
"10/01/23-1	","PE	","PE	","PE50mm, 6KG [PE50M／M(청)6KG]	","600.000","0","주간	",""
"10/01/23-2	","PE	","PE	","PE28mm 2kg [PE28M／M(백)2KG]	","660.000","0","야간	",""
"10/01/23-2	","PE	","PE	","PE50mm, 6KG [PE50M／M(청)6KG]	","720.000","0","야간	",""
"10/01/23-3	","PP	","PP	","18MMx 15kg 삼성 [1650M두께0.9mm단중8.56g]	","2,220.000","0","	",""
"10/01/23-4	","PP	","PP	","PP10.5M [PP10.5M10KG투명]	","460.000","0","	",""
"10/01/23-5	","PP	","PP	","PP9MM [PP9M／M13KG(투명)]	","208.000","0","	",""
"10/01/23-6	","PP	","PP	","12 x 3,000M 0.62T [12x3,000M0.62T백색]	","3,792.000","0","	",""
"10/01/25-1	","PE	","PE	","PE28mm 2kg [PE28M／M(백)2KG]	","1,240.000","0","야간	",""
"10/01/25-1	","PE	","PE	","PE50mm, 6KG [PE50M／M(청)6KG]	","576.000","0","야간	",""
"10/01/25-1	","PE	","PE	","PE50mm, 6KG [PE50M／M(녹)6KG]	","144.000","0","야간	",""
"10/01/25-2	","PE	","PE	","PE28mm 2kg [PE28M／M(백)2KG]	","220.000","0","주간	",""
"10/01/25-2	","PE	","PE	","PE50mm, 6KG [PE50M／M(청)6KG]	","264.000","0","주간	",""
"10/01/25-3	","PP	","PP	","18MMx 21kg 삼성 [2520M두께0.9mm단중8.56g]	","1,050.000","0","	",""
"10/01/25-3	","PP	","PP	","18MMx 15kg 삼성 [1650M두께0.9mm단중8.56g]	","1,350.000","0","	",""
"10/01/25-4	","PP	","PP	","12 x 3,000M 0.62T [12x3,000M0.62T백색]	","2,932.480","0","	",""
"10/01/26-4	","PE	","PE	","PE28mm 2kg [PE28M／M(백)2KG]	","1,400.000","0","야간	",""
"10/01/26-4	","PE	","PE	","PE50mm, 6KG [PE50M／M(녹)6KG]	","720.000","0","야간	",""
"10/01/26-7	","PE	","PE	","PE28mm 2kg [PE28M／M(백)2KG]	","1,200.000","0","주간	",""
"10/01/26-7	","PE	","PE	","PE50mm, 6KG [PE50M／M(녹)6KG]	","600.000","0","주간	",""
"10/01/26-8	","PP	","PP	","18MMx 21kg 삼성 [2520M두께0.9mm단중8.56g]	","2,562.000","0","	",""
"10/01/26-9	","PP	","PP	","12 x 3,000M 0.62T [12x3,000M0.62T백색]	","4,297.600","0","	",""
"10/01/27-1	","PE	","PE	","PE28mm 2kg [PE28M／M(백)2KG]	","720.000","0","야간	",""
"10/01/27-1	","PE	","PE	","PE50mm, 6KG [PE50M／M(황)6KG]	","720.000","0","야간	",""
"10/01/27-2	","PE	","PE	","PE28mm 2kg [PE28M／M(백)2KG]	","640.000","0","주간	",""
"10/01/27-2	","PE	","PE	","PE50mm, 6KG [PE50M／M(적)6KG]	","600.000","0","주간	",""
"10/01/27-3	","PP	","PP	","18MMx 21kg 삼성 [2520M두께0.9mm단중8.56g]	","1,134.000","0","	",""
"10/01/27-3	","PP	","PP	","18MMx 15kg 삼성 [1650M두께0.9mm단중8.56g]	","1,410.000","0","	",""
"10/01/27-4	","PP	","PP	","12 x 3,000M 0.62T [12x3,000M0.62T백색]	","2,452.160","0","	",""
"10/01/27-5	","PP	","PP	","15 x 100M 0.55T [15x100M0.55T황색]	","474.800","0","	",""
"10/01/27-5	","PP	","PP	","15 x 100M 0.55T [15x100M0.55T녹색]	","199.520","0","	",""
"10/01/27-5	","PP	","PP	","15 x 100M 0.55T [15x100M0.55T자색]	","224.460","0","	",""
"10/01/27-5	","PP	","PP	","15 x 100M 0.55T [15x100M0.55T적색]	","99.760","0","	",""
"10/01/27-5	","PP	","PP	","15 x 100M 0.55T [15x100M0.55T청색]	","274.340","0","	",""
"10/01/28-2	","PE	","PE	","PE28mm 2kg [PE28M／M(백)2KG]	","580.000","0","야간	",""
"10/01/28-2	","PE	","PE	","PE50mm, 6KG [PE50M／M(황)6KG]	","528.000","0","야간	",""
"10/01/28-2	","PE	","PE	","PE50mm, 6KG [PE50M／M(적)6KG]	","192.000","0","야간	",""
"10/01/28-3	","PE	","PE	","PE28mm 2kg [PE28M／M(백)2KG]	","640.000","0","주간	",""
"10/01/28-3	","PE	","PE	","PE50mm, 6KG [PE50M／M(황)6KG]	","600.000","0","주간	",""
"10/01/28-4	","PP	","PP	","18MMx 15kg 삼성 [1650M두께0.9mm단중8.56g]	","330.000","0","	",""
"10/01/28-5	","PP	","PP	","12 x 3,000M 0.60T [12x3,000M0.60TCLEAR]	","1,329.300","0","	",""
"10/01/28-6	","PP	","PP	","15 x 170M 0.55T [15x170M0.55T백색]	","166.180","0","	",""
"10/01/28-6	","PP	","PP	","BAND STOPPER SET [(15x100M)0.55T황색BAND와STOPPERSET]	","997.080","0","	",""
"10/01/28-7	","PP	","PP	","12 x 3,000M 0.62T [12x3,000M0.62T백색]	","404.480","0","	",""
"10/01/28-8	","PP	","PP	","PP9MM [PP9M／M10KG(적)]	","1,400.000","0","	",""
"10/01/29-1	","PE	","PE	","PE28mm 2kg [PE28M／M(백)2KG]	","700.000","0","야간	",""
"10/01/29-1	","PE	","PE	","PE50mm, 6KG [PE50M／M(적)6KG]	","720.000","0","야간	",""
"10/01/29-3	","PE	","PE	","PE50mm, 6KG [PE50M／M(적)6KG]	","600.000","0","주간	",""
"10/01/29-4	","PP	","PP	","12 x 3,000M 0.60T [12x3,000M0.60TCLEAR]	","1,666.900","0","	",""
