00~26 구매조회,,,,,,,,
일자-No.,거래처명,품목명,금액합계,거래유형,창고명,회계반영여부,인쇄,불러온 전표
20250929-2,대한유화 주식회사,5014 [pp원료],1463000,세금계산서,PP,Y,인쇄,조회
20250929-1,금성포장,패드 420 [420＊200 무지] 외 1건,1928300,세금계산서,PP,Y,인쇄,조회
20250926-5,제이케이머티리얼즈(주)/순성공장,LLD PE 원료,29726796,세금계산서,PE,Y,인쇄,조회
20250926-3,주식회사 썬에이스,MF5000(PE원료) [MF5000P_750KG],19536000,세금계산서,PP,Y,인쇄,조회
20250926-2,금성포장,패드 570 [570*406] 외 1건,931095,세금계산서,PP,Y,인쇄,조회
20250926-1,백암지관공업사,지관 200 [지관 200＊8＊190] 외 3건,2002792,세금계산서,PP,Y,인쇄,조회
20250925-2,(주)경남캐미칼,MB 510 [M／B 510 (BLUE)],264000,세금계산서,PP,Y,인쇄,조회
20250925-1,(주)스피드랩코리아,스트레치필름(일반 핸드랩) [20*300*380m],1138896,세금계산서,PP,Y,인쇄,조회
20250924-3,제이케이머티리얼즈(주)/순성공장,LLD PE 원료,29199808,세금계산서,PP,Y,인쇄,조회
20250924-2,재윤상사,팔레트 [1100*1300],858000,세금계산서,PP,Y,인쇄,조회
20250924-1,백암지관공업사,지관 50 [지관 50＊5＊202] 외 3건,2512840,세금계산서,PP,Y,인쇄,조회
20250923-2,제이케이머티리얼즈(주)/순성공장,LLD PE 원료,28114680,세금계산서,PP,Y,인쇄,조회
20250923-1,주식회사 대한종합포장,AMKOR 2입 박스 - 무인쇄 [360*360*408] 외 1건,466400,세금계산서,PP,Y,인쇄,조회
20250922-5,제이케이머티리얼즈(주)/순성공장,PP원료,27469420,세금계산서,PP,Y,인쇄,조회
20250922-4,중앙기획,실린더 [496*200] 외 1건,550000,세금계산서,PP,Y,인쇄,조회
20250922-3,대한유화 주식회사,5014 [pp원료],8778000,세금계산서,PP,Y,인쇄,조회
20250922-2,(주)태진케미칼,PP원료 [PPA],12672000,세금계산서,PP,Y,인쇄,조회
20250922-1,백암지관공업사,지관 406 [지관 406＊6＊155] 외 1건,1025552,세금계산서,PP,Y,인쇄,조회
20250919-6,제이케이머티리얼즈(주)/순성공장,LLD PE 원료,29895536,세금계산서,PE,Y,인쇄,조회
20250919-5,S-OIL(주)온산공장,HD500/PP50DW [500KG],35750000,세금계산서,PP,Y,인쇄,조회
20250919-4,주식회사 대한종합포장,콜롬비아 2롤 - 무인쇄 [400*400*390],137390,세금계산서,PP,Y,인쇄,조회
20250919-3,(주)경남캐미칼,MB 510-2 [M／B 510-2 (BLUE)] 외 2건,3905550,세금계산서,PP,Y,인쇄,조회
20250919-2,성신목재,팔레트 1120＊1120 [1120＊1120] 외 7건,1122000,세금계산서,PP,Y,인쇄,조회
20250919-1,백암지관공업사,지관 406 [지관 406＊6＊155] 외 3건,1840091,세금계산서,PP,Y,인쇄,조회
20250918-4,제이케이머티리얼즈(주)/순성공장,LLD PE 원료,30388776,세금계산서,PE,Y,인쇄,조회
20250918-3,디엘에프엔씨 주식회사,PP원료 [재생],31416000,세금계산서,PP,Y,인쇄,조회
20250918-2,주식회사 썬에이스,MF5000(PE원료) [MF5000P_750KG],19536000,세금계산서,PE,Y,인쇄,조회
20250918-1,금성포장,패드 550 [550*406],251790,세금계산서,PP,Y,인쇄,조회
20250917-2,백암지관공업사,지관 230 [지관 230＊5＊187] 외 1건,1098152,세금계산서,PP,Y,인쇄,조회
20250917-1,주식회사 대한종합포장,폴리 머신 스트랩 박스 무인쇄-2 [440*195*435] 외 2건,3908102,세금계산서,PP,Y,인쇄,조회
20250916-1,(주)스피드랩코리아,스트레치필름(일반 핸드랩 20) [20*500mm*350m],670120,세금계산서,상품,Y,인쇄,조회
20250915-2,성신목재,팔레트 1050＊1050 [1050＊1050] 외 8건,572000,세금계산서,PP,Y,인쇄,조회
